pressure,humidity,cloudcover,wind_gust,temperature_humidity_index,month,wind_direction,quarter,temperature_range,wind_speed,hour,is_day
0.3243,-0.20771,-2.22361,-1.11353,-0.01854,-2.12114,0.7101,-5.9069,9.37435,-0.08886,1.63867,-1.05578
-0.8409,1.30685,0.71014,-0.73326,-0.92487,-2.12114,-0.87785,-5.9069,-0.18565,-0.90374,1.63867,-1.05578
0.6156,0.24666,0.67458,0.88907,-0.32286,-2.12114,0.89555,-5.9069,-0.18565,0.1299,1.63867,-1.05578
-1.13221,-0.43489,0.71014,-0.41864,-0.1364,-2.12114,0.4551,-5.9069,-0.18565,-0.36778,1.63867,-1.05578
0.6156,0.54957,0.71014,-0.61562,-1.89896,-2.12114,1.17373,-5.9069,-0.18565,-0.92015,1.63867,-1.05578
0.3243,0.47384,0.71014,0.48691,-0.97079,-2.12114,0.53623,-5.9069,-0.18565,-0.33496,1.63867,-1.05578
-0.8409,1.38257,0.71014,-0.99316,-0.91309,-2.12114,-0.24035,-5.9069,-0.18565,-1.07875,1.63867,-1.05578
0.9069,1.30685,0.71014,1.38698,-2.84874,-2.12114,0.74487,-5.9069,-0.18565,-0.14902,1.63867,-1.05578
0.033,-0.51062,0.24785,2.20225,-0.46515,-2.12114,0.7101,-5.9069,-0.18565,1.28386,1.63867,-1.05578
0.6156,-0.28344,0.71014,2.45394,-0.00728,-2.12114,1.01146,-5.9069,-0.18565,2.53627,1.63867,-1.05578
-1.13221,0.85248,0.71014,0.42672,0.42243,-2.12114,-0.58808,-5.9069,-0.18565,-0.39512,1.63867,-1.05578
-1.13221,0.6253,-2.13471,-1.11353,0.47666,-2.12114,-1.37625,-5.9069,-0.18565,-0.08886,1.63867,-1.05578
0.3243,0.6253,0.60346,1.84933,-0.94732,-2.12114,0.65214,-5.9069,-0.18565,-0.1162,1.63867,-1.05578
0.6156,0.32238,0.71014,0.30361,-0.49013,-2.12114,0.84919,-5.9069,-0.18565,-0.88186,1.63867,-1.05578
0.3243,-0.20771,0.71014,2.38008,0.07481,-2.12114,1.02305,-5.9069,-0.18565,2.53627,1.63867,-1.05578
-1.42351,0.77675,0.71014,0.90548,0.57571,-2.12114,-0.58808,-5.9069,-0.18565,0.42523,1.63867,-1.05578
0.6156,1.4583,-2.13471,-1.11353,-0.56841,-2.12114,0.36237,-5.9069,-0.18565,-0.65217,1.63867,-1.05578
-1.13221,0.85248,0.71014,-0.98495,-0.30206,-2.12114,0.09578,-5.9069,-0.18565,-1.24829,1.63867,-1.05578
-1.13221,1.07966,0.71014,0.20512,-0.11619,-2.12114,-0.79671,-5.9069,-0.18565,-0.43887,1.63867,-1.05578
-0.2583,0.01947,0.49678,-0.38034,0.20786,-2.12114,0.9651,-5.9069,-0.18565,-0.02323,1.63867,-1.05578
0.3243,-0.28344,-2.22361,-1.11353,-0.32773,-2.12114,0.7101,-5.9069,6.41656,-0.08886,1.63867,-1.05578
0.3243,0.54957,0.67458,0.372,-1.15057,-2.12114,0.48987,-5.9069,-0.18565,-0.49903,1.63867,-1.05578
-0.8409,-0.13198,0.71014,0.51153,-0.27801,-2.12114,0.2001,-5.9069,-0.18565,0.61664,1.63867,-1.05578
-1.13221,0.92821,0.71014,0.43219,-0.09503,-2.12114,-0.88944,-5.9069,-0.18565,-0.43887,1.63867,-1.05578
0.033,0.32238,-0.32112,0.51153,-1.19873,-2.12114,0.82601,-5.9069,-0.18565,0.21194,1.63867,-1.05578
0.3243,0.6253,-2.22361,-1.11353,-0.47115,-2.12114,0.7101,-5.9069,6.46938,-0.08886,1.63867,-1.05578
-1.13221,-0.20771,-2.13471,-1.11353,0.10026,-2.12114,-0.6808,-5.9069,-0.18565,0.75884,1.63867,-1.05578
