Year,Month,Day,Specific Humidity,Relative Humidity,Temperature
2011,5,1,16.17,60.94,15.72
2004,8,1,18.98,90.62,5.7
2017,1,1,8.0,48.62,23.98
2018,1,1,9.03,54.31,21.09
2012,4,1,13.06,53.44,20.14
2012,1,1,8.18,54.44,21.98
2018,5,1,16.05,59.19,16.92
2016,2,1,9.52,50.56,23.57
2020,10,1,18.43,82.69,12.62
2014,3,1,10.01,45.31,26.31
2010,7,1,20.39,91.5,6.21
2008,2,1,6.65,39.25,29.28
2013,3,1,9.46,43.0,22.1
2006,8,1,18.86,91.56,5.13
2020,8,1,20.08,92.31,5.34
2019,11,1,15.62,78.5,13.65
2016,7,1,19.71,91.19,5.2
2009,5,1,15.81,58.56,16.99
2006,2,1,7.87,38.5,24.25
2005,10,1,15.62,76.81,16.19
2009,12,1,11.6,67.12,18.44
2006,4,1,13.37,56.88,19.78
2009,6,1,18.55,73.06,11.15
2009,11,1,14.22,75.12,16.66
2010,1,1,9.83,56.94,20.45
2019,12,1,14.1,76.81,17.22
2007,1,1,8.85,51.56,22.68
2002,6,1,19.17,78.06,13.12
2014,1,1,9.52,56.69,22.52
2013,12,1,10.19,60.88,17.84
2019,6,1,19.04,73.56,13.71
2000,6,1,19.53,84.19,7.91
2004,9,1,18.86,87.0,10.34
2014,9,1,18.49,86.88,10.76
2018,12,1,7.93,46.25,21.98
2009,1,1,9.09,50.12,24.01
2005,6,1,19.17,76.12,12.55
2011,6,1,19.78,82.5,11.82
2010,8,1,19.78,91.06,6.07
2017,12,1,11.11,66.62,16.84
2012,7,1,19.84,88.75,6.79
2002,8,1,18.86,89.88,6.24
2001,1,1,8.06,45.81,22.94
2002,12,1,8.67,48.75,23.45
2002,5,1,16.85,60.44,19.38
2003,7,1,20.2,89.81,5.22
2018,6,1,20.02,81.81,13.05
2001,11,1,12.51,66.56,18.25
2007,10,1,14.65,73.5,14.66
2015,5,1,16.72,61.25,16.24
2008,9,1,18.8,88.88,10.93
2004,4,1,14.04,57.25,18.28
2009,7,1,19.84,90.44,5.26
2007,12,1,10.68,60.69,20.99
2020,1,1,10.62,67.56,22.98
2016,10,1,15.56,78.81,15.45
2006,5,1,16.66,63.94,16.48
2003,6,1,19.53,79.75,14.93
2019,9,1,19.78,91.38,6.7
2012,11,1,12.45,67.31,17.12
2006,7,1,19.41,91.12,4.73
2019,4,1,13.06,52.88,24.02
2002,3,1,9.77,43.44,23.32
2020,4,1,13.31,51.19,22.09
2016,6,1,19.41,77.31,13.92
2015,11,1,13.85,69.44,15.36
2011,8,1,19.53,91.38,6.05
2000,1,1,8.06,48.25,23.93
2000,3,1,8.48,42.88,26.68
2006,6,1,19.59,81.62,8.96
2003,11,1,13.43,69.81,16.23
2008,5,1,16.17,61.44,15.66
2020,6,1,19.78,83.0,11.76
2012,9,1,18.86,89.06,10.54
2015,2,1,8.24,43.69,22.51
2007,7,1,20.02,89.75,6.21
2007,2,1,10.01,53.69,20.73
2014,10,1,16.36,75.31,14.91
2008,3,1,10.01,44.62,22.02
2003,1,1,8.48,43.25,25.19
2005,2,1,8.54,46.69,26.7
2013,9,1,18.98,88.62,8.92
2011,10,1,17.03,79.06,14.62
2000,12,1,7.39,44.56,20.09
2020,7,1,20.26,90.19,7.08
2016,9,1,18.62,90.0,8.02
2002,4,1,12.88,50.12,21.04
2012,12,1,10.99,63.0,17.77
2000,5,1,17.4,70.88,19.07
2010,3,1,10.62,47.12,23.78
2002,9,1,17.88,85.75,12.04
2012,3,1,7.51,37.5,27.43
2015,1,1,8.67,53.25,21.37
2011,7,1,19.71,90.06,7.24
2005,3,1,10.19,48.5,24.38
2011,4,1,13.55,55.12,20.6
2010,9,1,19.41,88.75,9.36
2019,1,1,5.74,34.69,23.41
2018,9,1,17.88,85.44,12.2
2005,11,1,11.54,66.81,17.23
2016,3,1,10.8,47.94,23.17
2005,5,1,15.87,59.81,18.37
2003,9,1,18.68,88.94,7.65
2020,11,1,14.83,76.06,16.95
2003,5,1,15.69,58.44,20.51
2010,4,1,13.79,53.25,21.23
2012,10,1,16.78,78.44,14.91
2001,12,1,9.83,56.44,17.97
2017,9,1,19.47,88.38,10.27
2015,6,1,19.35,80.62,12.81
2006,10,1,17.03,79.38,14.12
2003,4,1,13.24,52.44,21.49
2017,8,1,19.29,89.94,6.88
2003,12,1,9.64,56.44,20.71
2007,11,1,12.82,67.94,18.42
2016,1,1,7.57,45.5,24.46
2013,6,1,19.96,86.5,10.9
2003,8,1,19.23,89.5,5.56
2012,2,1,6.47,35.88,29.15
2014,6,1,18.31,68.06,13.32
2000,4,1,13.79,55.69,22.49
2008,10,1,15.5,75.06,16.25
2004,6,1,19.23,81.31,11.2
2011,2,1,9.03,51.19,22.02
2019,2,1,7.45,40.44,27.1
2016,4,1,13.37,53.75,19.66
2019,7,1,20.45,90.81,6.38
2004,2,1,7.51,38.88,24.88
2013,8,1,18.8,89.81,5.59
2006,9,1,19.29,90.44,8.38
2002,11,1,11.17,57.0,18.57
2017,5,1,16.17,59.12,16.91
2000,8,1,18.86,88.44,7.07
2014,4,1,12.21,48.88,22.52
2009,3,1,9.7,42.19,23.08
2007,8,1,19.59,90.81,6.16
2006,12,1,10.86,62.12,17.57
2018,10,1,15.2,69.38,17.13
2019,3,1,9.16,44.19,26.17
2007,6,1,20.08,81.25,10.63
2000,9,1,18.43,86.12,10.63
2001,2,1,7.57,41.56,22.7
2004,12,1,9.34,54.44,18.29
2018,2,1,8.48,44.69,24.09
2010,12,1,11.23,70.69,19.12
2001,6,1,19.1,81.94,9.83
2013,11,1,13.49,71.12,16.74
2006,1,1,8.24,49.38,23.38
2018,7,1,19.71,91.0,5.98
2011,3,1,8.73,39.44,23.73
2017,3,1,10.07,47.0,27.39
2019,5,1,15.26,58.19,18.42
2005,4,1,11.96,48.5,23.25
2004,7,1,19.35,87.25,6.24
2008,12,1,10.8,58.06,20.38
2004,3,1,8.73,37.19,23.07
2017,6,1,20.08,82.31,12.02
2014,7,1,19.65,86.69,9.27
2020,2,1,9.28,49.88,24.97
2015,10,1,17.15,75.81,14.72
2020,9,1,19.71,90.12,9.22
2017,4,1,12.63,53.12,23.02
2018,8,1,18.8,89.94,5.61
2014,2,1,8.91,48.56,22.5
2004,11,1,13.06,66.5,16.66
2004,1,1,8.67,51.94,22.16
2007,5,1,16.24,60.12,15.14
2001,10,1,16.72,80.19,14.76
2004,10,1,15.2,76.69,14.52
2016,12,1,9.28,53.94,20.38
2013,5,1,16.36,60.31,17.23
2020,5,1,16.17,57.25,16.63
2015,8,1,19.04,87.44,7.28
2015,12,1,9.46,52.5,22.91
2010,10,1,17.88,81.88,13.84
2003,2,1,9.34,48.12,21.83
2013,2,1,9.52,49.81,23.1
2019,10,1,18.13,84.44,11.93
