Year,Month,Day,Specific Humidity,Relative Humidity,Temperature,Precipitation
2000,1,1,8.01,48.02,23.43,0.0
2000,2,1,8.8,51.28,24.14,0.0
2000,3,1,8.5,42.79,27.56,0.0
2000,4,1,13.73,55.3,30.74,0.0
2000,5,1,17.38,70.9,29.2,270.01
2000,6,1,19.56,84.18,27.58,314.4
2000,7,1,18.8,88.47,25.99,820.88
2000,8,1,18.85,88.43,26.09,357.74
2000,9,1,18.44,86.14,26.25,102.3
2000,10,1,16.78,78.52,26.36,63.55
2000,11,1,12.06,63.81,24.72,4.5
2000,12,1,7.38,44.4,23.32,11.16
2001,1,1,8.08,46.1,24.19,0.0
2001,2,1,7.53,41.31,25.55,0.0
2001,3,1,11.28,55.51,27.22,0.0
2001,4,1,12.24,49.6,30.78,1.5
2001,5,1,16.59,62.44,30.76,29.14
2001,6,1,19.09,81.88,27.71,506.7
2001,7,1,19.19,88.99,26.25,625.27
2001,8,1,18.9,90.94,25.64,429.97
2001,9,1,18.67,87.68,26.15,156.0
2001,10,1,16.75,80.23,25.84,120.28
2001,11,1,12.55,66.72,24.41,6.3
2001,12,1,9.8,56.33,23.69,0.0
2002,1,1,8.2,51.24,22.4,0.0
2002,2,1,7.76,39.36,26.27,0.0
2002,3,1,9.75,43.22,29.44,0.31
2002,4,1,12.82,50.05,31.34,2.1
2002,5,1,16.85,60.51,31.5,8.68
2002,6,1,19.18,77.94,28.85,498.9
2002,7,1,18.94,85.08,26.88,126.79
2002,8,1,18.85,89.88,25.8,579.7
2002,9,1,17.87,85.8,25.84,89.7
2002,10,1,15.8,71.8,26.92,17.36
2002,11,1,11.19,57.2,25.61,2.7
2002,12,1,8.69,48.81,24.62,0.0
2003,1,1,8.41,42.97,25.72,0.0
2003,2,1,9.33,48.37,26.34,8.4
2003,3,1,9.06,41.95,28.57,0.0
2003,4,1,13.22,52.54,30.97,0.9
2003,5,1,15.68,58.44,31.29,0.0
2003,6,1,19.51,79.64,28.79,709.2
2003,7,1,20.23,89.79,26.96,585.59
2003,8,1,19.26,89.52,26.23,380.37
2003,9,1,18.68,88.94,25.89,233.4
2003,10,1,15.88,75.98,25.95,51.15
2003,11,1,13.45,69.89,24.78,1.2
2003,12,1,9.66,56.57,23.45,0.31
2004,1,1,8.66,51.89,23.26,0.31
2004,2,1,7.53,38.94,26.36,0.0
2004,3,1,8.71,37.07,30.38,0.0
2004,4,1,14.02,57.17,30.35,0.0
2004,5,1,16.88,62.81,30.85,92.07
2004,6,1,19.21,81.28,27.99,376.5
2004,7,1,19.35,87.27,26.76,656.27
2004,8,1,18.97,90.59,25.75,954.49
2004,9,1,18.87,86.95,26.47,227.7
2004,10,1,15.26,76.77,25.08,27.28
2004,11,1,13.12,66.56,25.05,4.2
2004,12,1,9.33,54.36,23.57,0.0
2005,1,1,8.03,49.6,22.88,3.41
2005,2,1,8.49,46.68,25.2,0.0
2005,3,1,10.18,48.31,28.31,0.31
2005,4,1,11.94,48.54,30.55,13.5
2005,5,1,15.88,59.87,30.99,15.19
2005,6,1,19.2,76.08,29.35,786.3
2005,7,1,20.14,91.14,26.63,1071.98
2005,8,1,19.17,90.19,26.02,469.03
2005,9,1,19.45,92.06,25.88,776.1
2005,10,1,15.69,77.0,25.52,75.64
2005,11,1,11.51,66.68,23.08,0.0
2005,12,1,9.5,58.58,22.29,0.0
2006,1,1,8.24,49.35,23.41,0.0
2006,2,1,7.85,38.58,27.45,0.0
2006,3,1,10.35,48.1,28.19,9.61
2006,4,1,13.37,56.88,29.69,0.0
2006,5,1,16.63,63.86,30.6,183.21
2006,6,1,19.57,81.59,28.23,439.5
2006,7,1,19.45,91.13,26.03,1125.92
2006,8,1,18.85,91.52,25.47,1055.55
2006,9,1,19.26,90.43,26.08,384.6
2006,10,1,17.07,79.43,26.46,147.25
2006,11,1,14.34,74.58,24.64,24.0
2006,12,1,10.89,62.22,23.59,0.31
2007,1,1,8.87,51.69,23.93,0.0
2007,2,1,9.99,53.43,25.54,0.28
2007,3,1,9.31,42.48,28.9,0.0
2007,4,1,12.95,50.85,31.38,8.4
2007,5,1,16.25,60.14,31.1,4.34
2007,6,1,20.1,81.18,28.75,855.6
2007,7,1,20.06,89.76,26.82,750.2
2007,8,1,19.62,90.84,26.25,611.01
2007,9,1,19.49,89.6,26.4,451.2
2007,10,1,14.66,73.54,25.24,4.96
2007,11,1,12.83,68.08,24.15,7.8
2007,12,1,10.68,60.73,23.72,0.0
2008,1,1,7.46,47.32,22.51,0.0
2008,2,1,6.66,39.35,24.17,0.0
2008,3,1,9.97,44.24,28.93,6.82
2008,4,1,12.76,51.87,30.6,0.3
2008,5,1,16.16,61.49,30.56,3.41
2008,6,1,19.6,84.03,27.73,681.6
2008,7,1,19.55,89.39,26.47,652.86
2008,8,1,18.97,90.33,25.81,684.48
2008,9,1,18.82,88.88,25.96,527.1
2008,10,1,15.51,75.21,25.73,36.27
2008,11,1,12.98,67.6,24.64,2.4
2008,12,1,10.83,58.16,24.6,7.13
2009,1,1,9.07,50.29,24.88,0.0
2009,2,1,7.68,39.78,26.6,0.0
2009,3,1,9.66,42.01,29.64,3.1
2009,4,1,12.25,47.6,31.96,0.6
2009,5,1,15.81,58.69,31.21,2.17
2009,6,1,18.56,72.9,29.42,221.4
2009,7,1,19.83,90.44,26.48,1053.07
2009,8,1,19.4,89.42,26.39,401.76
2009,9,1,19.44,88.71,26.61,276.6
2009,10,1,15.94,75.76,26.04,208.94
2009,11,1,14.23,75.11,24.36,109.5
2009,12,1,11.59,67.18,23.02,0.0
2010,1,1,9.84,56.91,23.54,0.31
2010,2,1,9.15,50.76,25.03,0.0
2010,3,1,10.58,46.79,29.45,5.89
2010,4,1,13.81,53.3,31.34,0.6
2010,5,1,17.11,59.92,32.12,8.06
2010,6,1,20.54,84.07,28.52,665.4
2010,7,1,20.37,91.49,26.74,1059.27
2010,8,1,19.8,91.06,26.38,870.48
2010,9,1,19.42,88.74,26.57,260.7
2010,10,1,17.89,81.91,26.64,195.3
2010,11,1,17.03,82.33,25.74,65.7
2010,12,1,11.27,70.72,21.53,0.0
2011,1,1,8.87,56.83,21.97,0.0
2011,2,1,9.03,51.27,24.51,0.28
2011,3,1,8.68,39.23,29.24,0.0
2011,4,1,13.53,55.11,30.3,6.9
2011,5,1,16.16,60.96,30.77,2.17
2011,6,1,19.78,82.42,28.19,350.1
2011,7,1,19.73,90.04,26.52,1082.21
2011,8,1,19.52,91.33,26.08,640.46
2011,9,1,18.74,88.54,25.98,348.3
2011,10,1,17.07,79.16,26.43,167.71
2011,11,1,12.95,66.61,24.86,0.3
2011,12,1,10.12,58.8,23.2,0.0
2012,1,1,8.16,54.44,21.5,0.0
2012,2,1,6.46,35.81,25.2,0.0
2012,3,1,7.5,37.52,27.83,0.0
2012,4,1,13.03,53.32,30.52,2.4
2012,5,1,15.74,61.28,30.43,1.86
2012,6,1,18.64,74.58,29.13,235.5
2012,7,1,19.85,88.77,26.85,570.4
2012,8,1,19.42,90.3,26.21,398.66
2012,9,1,18.84,89.12,25.97,408.3
2012,10,1,16.83,78.5,26.4,206.77
2012,11,1,12.44,67.33,24.0,0.3
2012,12,1,10.96,63.03,23.35,0.0
2013,1,1,8.54,53.53,22.57,0.0
2013,2,1,9.54,50.1,25.71,6.72
2013,3,1,9.41,42.68,28.78,0.93
2013,4,1,13.22,55.77,29.75,0.0
2013,5,1,16.38,60.35,31.21,0.31
2013,6,1,19.98,86.41,27.51,931.5
2013,7,1,19.47,91.67,25.94,882.57
2013,8,1,18.78,89.88,25.76,238.7
2013,9,1,19.0,88.6,26.22,315.0
2013,10,1,17.43,82.0,26.22,88.66
2013,11,1,13.49,71.14,24.46,4.2
2013,12,1,10.24,60.91,22.84,2.17
2014,1,1,9.54,56.91,23.15,0.62
2014,2,1,8.89,48.44,24.79,0.28
2014,3,1,9.99,45.22,28.46,4.03
2014,4,1,12.18,48.89,30.78,2.1
2014,5,1,15.37,56.52,31.47,12.71
2014,6,1,18.29,68.07,30.46,75.9
2014,7,1,19.66,86.6,27.21,1298.28
2014,8,1,19.41,90.45,26.19,620.62
2014,9,1,18.51,86.91,26.17,281.4
2014,10,1,16.37,75.36,26.66,30.07
2014,11,1,13.17,67.06,25.11,19.5
2014,12,1,9.35,54.41,23.07,18.91
2015,1,1,8.71,53.44,22.88,0.93
2015,2,1,8.18,43.43,25.97,1.68
2015,3,1,10.83,50.36,28.03,50.22
2015,4,1,13.72,56.22,30.07,1.8
2015,5,1,16.72,61.29,31.4,33.79
2015,6,1,19.33,80.54,28.35,804.0
